agence,banque,lat,long,geometry,index_right,C_DELEG,OBJECTID,LABEL,C_SECT,LABEL_AR,municipalite,circonscription,gouvernorat,CODE_GOUV,Shape__Area,Shape__Length,delegation,Nearest_Biat,Distance_Km,CONCURRENT LE PLUS PROCHE,BIAT LA PLUS PROCHE
Agence Ariana Ennour,biat,36.85821533203125,10.1858024597168,POINT (10.1858024597168 36.85821533203125),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Forum,0.55,bh (0.15Km),Agence Ariana Ennour (0.15Km)
Agence Hedi Nouira,biat,36.85782623291016,10.16160011291504,POINT (10.16160011291504 36.85782623291016),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ennasr 1,0.36,baraka (0.12Km),Agence Hedi Nouira (0.12Km)
Agence Ennasr 1,biat,36.85862350463867,10.1654748916626,POINT (10.1654748916626 36.85862350463867),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Hedi Nouira,0.36,ubci (0.05Km),Agence Ennasr 1 (0.05Km)
Agence El Menzeh 7,biat,36.85463714599609,10.16263294219971,POINT (10.16263294219971 36.85463714599609),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Hedi Nouira,0.37,attijari (0.31Km),Agence Hedi Nouira (0.23Km)
Agence El Menzah 5,biat,36.84809494018555,10.1670389175415,POINT (10.1670389175415 36.84809494018555),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence El Menzeh 7,0.83,amen (0.14Km),Agence El Menzah 5 (0.14Km)
Agence Carnoy,biat,36.8505859375,10.17752265930176,POINT (10.17752265930176 36.8505859375),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence El Menzah 5,0.97,amen (0.15Km),Agence Carnoy (0.15Km)
Agence Ariana nord,biat,36.87395858764648,10.18623638153076,POINT (10.18623638153076 36.87395858764648),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Raoued/El Ghazala,1.27,bt (0.68Km),Agence Ariana nord (0.68Km)
Agence Ariana Forum,biat,36.85836410522461,10.19201946258545,POINT (10.19201946258545 36.85836410522461),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Ennour,0.55,bt (0.04Km),Agence Ariana Forum (0.04Km)
abc,abc,36.8509479,10.1809174,POINT (10.1809174 36.8509479),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Carnoy,0.3,bt (0.18Km),Agence Carnoy (0.47Km)
amen,amen,36.8577436,10.1903119,POINT (10.1903119 36.8577436),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Forum,0.17,bna (0.1Km),Agence Ariana Forum (0.25Km)
amen,amen,36.866338,10.169265,POINT (10.169265 36.866338),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ennasr 1,0.92,bt (0.1Km),Agence Ennasr 1 (0.82Km)
amen,amen,36.884961,10.169708,POINT (10.169708 36.884961),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Raoued/El Ghazala,1.25,bh (0.55Km),Agence Raoued/El Ghazala (1.35Km)
amen,amen,36.850065,10.175984,POINT (10.175984 36.850065),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Carnoy,0.15,biat (0.15Km),Agence El Menzah 5 (0.97Km)
amen,amen,36.860092,10.162564,POINT (10.162564 36.860092),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Hedi Nouira,0.27,tsb (0.1Km),Agence Hedi Nouira (0.19Km)
amen,amen,36.861476,10.186974,POINT (10.186974 36.861476),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Ennour,0.38,bh (0.24Km),Agence Ariana Ennour (0.46Km)
amen,amen,36.846863,10.166555,POINT (10.166555 36.846863),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence El Menzah 5,0.14,ubci (0.06Km),Agence El Menzah 5 (0.15Km)
atb,atb,36.8560366,10.15900110000007,POINT (10.15900110000007 36.8560366),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Hedi Nouira,0.31,attijari (0.08Km),Agence Hedi Nouira (0.23Km)
atb,atb,36.84907880000001,10.16983449999998,POINT (10.16983449999998 36.84907880000001),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence El Menzah 5,0.27,biat (0.27Km),Agence El Menzeh 7 (0.83Km)
atb,atb,36.8622166,10.19578179999996,POINT (10.19578179999996 36.8622166),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Forum,0.54,attijari (0.36Km),Agence Ariana Forum (0.35Km)
attijari,attijari,36.858944,10.19583799999998,POINT (10.19583799999998 36.858944),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Forum,0.35,bt (0.34Km),Agence Ariana Forum (0.04Km)
attijari,attijari,36.849604,10.18315699999994,POINT (10.18315699999994 36.849604),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Carnoy,0.51,bt (0.09Km),Agence Carnoy (0.47Km)
attijari,attijari,36.857947,10.16556300000002,POINT (10.16556300000002 36.857947),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ennasr 1,0.08,ubci (0.05Km),Agence Ennasr 1 (0.05Km)
attijari,attijari,36.864927,10.16758900000002,POINT (10.16758900000002 36.864927),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ennasr 1,0.73,bt (0.11Km),Agence Ennasr 1 (0.82Km)
attijari,attijari,36.856755,10.16001499999993,POINT (10.16001499999993 36.856755),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Hedi Nouira,0.18,bte (0.03Km),Agence Hedi Nouira (0.16Km)
attijari,attijari,36.856326,10.15985799999999,POINT (10.15985799999999 36.856326),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Hedi Nouira,0.23,attijari (0.05Km),Agence Hedi Nouira (0.18Km)
attijari,attijari,36.867931,10.183893,POINT (10.183893 36.867931),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana nord,0.7,bte (0.32Km),Agence Ariana Ennour (0.8Km)
attijari,attijari,36.856939,10.18838200000005,POINT (10.18838200000005 36.856939),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Ennour,0.27,ubci (0.03Km),Agence Ariana Ennour (0.29Km)
attijari,attijari,36.851604,10.16441299999997,POINT (10.16441299999997 36.851604),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence El Menzeh 7,0.37,bna (0.13Km),Agence El Menzeh 7 (0.32Km)
attijari,attijari,36.85806,10.17745600000001,POINT (10.17745600000001 36.85806),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Ennour,0.74,bh (0.31Km),Agence Carnoy (0.56Km)
attijari,attijari,36.855338,10.16905900000006,POINT (10.16905900000006 36.855338),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ennasr 1,0.48,wifak (0.36Km),Agence Ennasr 1 (0.66Km)
attijari,attijari,36.84641,10.16761099999997,POINT (10.16761099999997 36.84641),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence El Menzah 5,0.19,amen (0.11Km),Agence El Menzah 5 (0.14Km)
baraka,baraka,36.8555701,10.1882985,POINT (10.1882985 36.8555701),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Ennour,0.37,ubci (0.12Km),Agence Ariana Ennour (0.29Km)
baraka,baraka,36.857163,10.160506,POINT (10.160506 36.857163),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Hedi Nouira,0.12,bte (0.04Km),Agence Hedi Nouira (0.16Km)
bh,bh,36.8495442,10.1732416,POINT (10.1732416 36.8495442),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Carnoy,0.4,zitouna (0.1Km),Agence Carnoy (0.32Km)
bh,bh,36.868852,10.1688403,POINT (10.1688403 36.868852),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ennasr 1,1.18,btl (0.26Km),Agence Ennasr 1 (1.12Km)
bh,bh,36.8555143,10.1759819,POINT (10.1759819 36.8555143),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Carnoy,0.56,attijari (0.31Km),Agence Ariana Ennour (0.74Km)
bh,bh,36.8622614,10.1845205,POINT (10.1845205 36.8622614),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Ennour,0.46,amen (0.24Km),Agence Ariana Ennour (0.38Km)
bh,bh,36.858336,10.1874253,POINT (10.1874253 36.858336),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Ennour,0.15,btl (0.14Km),Agence Ariana Ennour (0.25Km)
bh,bh,36.847877,10.1637713,POINT (10.1637713 36.847877),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence El Menzah 5,0.29,uib (0.18Km),Agence El Menzah 5 (0.26Km)
bh,bh,36.8580227,10.1637465,POINT (10.1637465 36.8580227),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ennasr 1,0.17,attijari (0.16Km),Agence Ennasr 1 (0.08Km)
bna,bna,36.8545868802747,10.18631934309155,POINT (10.18631934309155 36.8545868802747),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Ennour,0.41,btk (0.03Km),Agence Ariana Ennour (0.43Km)
bna,bna,36.85920362408363,10.16209190031498,POINT (10.16209190031498 36.85920362408363),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Hedi Nouira,0.16,qnb (0.04Km),Agence Hedi Nouira (0.12Km)
bna,bna,36.85257413391662,10.16512547871082,POINT (10.16512547871082 36.85257413391662),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence El Menzeh 7,0.32,attijari (0.13Km),Agence El Menzeh 7 (0.37Km)
bna,bna,36.85797820968928,10.18928413530796,POINT (10.18928413530796 36.85797820968928),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Forum,0.25,wifak (0.02Km),Agence Ariana Forum (0.27Km)
bt,bt,36.8656328277566,10.1684886198661,POINT (10.1684886198661 36.8656328277566),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ennasr 1,0.82,amen (0.1Km),Agence Ennasr 1 (0.92Km)
bt,bt,36.876691,10.17936,POINT (10.17936 36.876691),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana nord,0.68,stb (0.11Km),Agence Ariana nord (0.78Km)
bt,bt,36.850395,10.182848,POINT (10.182848 36.850395),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Carnoy,0.47,attijari (0.09Km),Agence Carnoy (0.51Km)
bt,bt,36.858728,10.192062,POINT (10.192062 36.858728),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Forum,0.04,biat (0.04Km),Agence Ariana Ennour (0.55Km)
bte,bte,36.856816,10.160292,POINT (10.160292 36.856816),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Hedi Nouira,0.16,attijari (0.03Km),Agence Hedi Nouira (0.18Km)
bte,bte,36.865396,10.185663,POINT (10.185663 36.865396),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Ennour,0.8,ubci (0.08Km),Agence Ariana Ennour (0.72Km)
btk,btk,36.8543854,10.1866034,POINT (10.1866034 36.8543854),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Ennour,0.43,bna (0.03Km),Agence Ariana Ennour (0.41Km)
btk,btk,36.8620169,10.1656258,POINT (10.1656258 36.8620169),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ennasr 1,0.38,zitouna (0.09Km),Agence Ennasr 1 (0.35Km)
btl,btl,36.86755830002496,10.17134088382102,POINT (10.17134088382102 36.86755830002496),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ennasr 1,1.12,amen (0.23Km),Agence Ennasr 1 (0.92Km)
btl,btl,36.85737825964088,10.18841679214654,POINT (10.18841679214654 36.85737825964088),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Ennour,0.25,attijari (0.05Km),Agence Ariana Ennour (0.27Km)
qnb,qnb,36.858871,10.161832,POINT (10.161832 36.858871),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Hedi Nouira,0.12,bna (0.04Km),Agence Hedi Nouira (0.16Km)
stb,stb,36.85931,10.190137,POINT (10.190137 36.85931),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Forum,0.2,amen (0.17Km),Agence Ariana Forum (0.17Km)
stb,stb,36.877535,10.178671,POINT (10.178671 36.877535),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana nord,0.78,zitouna (0.01Km),Agence Ariana nord (0.79Km)
stb,stb,36.8613449,10.1617817,POINT (10.1617817 36.8613449),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Hedi Nouira,0.39,amen (0.16Km),Agence Hedi Nouira (0.27Km)
tsb,tsb,36.8595015,10.1617777,POINT (10.1617777 36.8595015),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Hedi Nouira,0.19,bna (0.04Km),Agence Hedi Nouira (0.16Km)
tsb,tsb,36.845963,10.1747759,POINT (10.1747759 36.845963),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Carnoy,0.57,zitouna (0.37Km),Agence Carnoy (0.32Km)
ubci,ubci,36.864674,10.185807,POINT (10.185807 36.864674),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Ennour,0.72,bte (0.08Km),Agence Ariana Ennour (0.8Km)
ubci,ubci,36.856674,10.188464,POINT (10.188464 36.856674),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Ennour,0.29,attijari (0.03Km),Agence Ariana Ennour (0.27Km)
ubci,ubci,36.858333,10.16591,POINT (10.16591 36.858333),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ennasr 1,0.05,biat (0.05Km),Agence Hedi Nouira (0.36Km)
ubci,ubci,36.847018,10.165964,POINT (10.165964 36.847018),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence El Menzah 5,0.15,amen (0.06Km),Agence El Menzah 5 (0.14Km)
uib,uib,36.8613,10.1644,POINT (10.1644 36.8613),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ennasr 1,0.31,zitouna (0.05Km),Agence Ennasr 1 (0.35Km)
uib,uib,36.8465,10.1649,POINT (10.1649 36.8465),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence El Menzah 5,0.26,ubci (0.11Km),Agence El Menzah 5 (0.15Km)
uib,uib,36.8563,10.1559,POINT (10.1559 36.8563),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Hedi Nouira,0.53,zitouna (0.05Km),Agence Hedi Nouira (0.54Km)
uib,uib,36.8524,10.1845,POINT (10.1845 36.8524),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Carnoy,0.65,zitouna (0.12Km),Agence Ariana Ennour (0.55Km)
uib,uib,36.8665,10.1528,POINT (10.1528 36.8665),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Hedi Nouira,1.24,stb (0.98Km),Agence Hedi Nouira (0.39Km)
wifak,wifak,36.8568947,10.1725737,POINT (10.1725737 36.8568947),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ennasr 1,0.66,bh (0.34Km),Agence Carnoy (0.56Km)
wifak,wifak,36.857923,10.18907,POINT (10.18907 36.857923),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Forum,0.27,bna (0.02Km),Agence Ariana Forum (0.25Km)
zitouna,zitouna,36.861734,10.16463299999998,POINT (10.16463299999998 36.861734),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ennasr 1,0.35,uib (0.05Km),Agence Ennasr 1 (0.31Km)
zitouna,zitouna,36.853279,10.18528,POINT (10.18528 36.853279),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Ennour,0.55,uib (0.12Km),Agence Carnoy (0.65Km)
zitouna,zitouna,36.85701,10.181783,POINT (10.181783 36.85701),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana Ennour,0.38,biat (0.38Km),Agence Ariana Forum (0.55Km)
zitouna,zitouna,36.855904,10.156069,POINT (10.156069 36.855904),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Hedi Nouira,0.54,uib (0.05Km),Agence Hedi Nouira (0.53Km)
zitouna,zitouna,36.877528,10.178611,POINT (10.178611 36.877528),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Ariana nord,0.79,stb (0.01Km),Agence Ariana nord (0.78Km)
zitouna,zitouna,36.849306,10.174333,POINT (10.174333 36.849306),21,1251,164,LA NOUVELLE ARIANA,125151,اريانة الجديدة,Ariana,Ariana,Ariana,12,5.40802427337894e-05,0.0324998013322134,L’Ariana Ville,Agence Carnoy,0.32,bh (0.1Km),Agence Carnoy (0.4Km)
Agence Les Jardins de Carthage,biat,36.85184860229492,10.3045768737793,POINT (10.3045768737793 36.85184860229492),19,1170,147,LE KRAM EST,117051,الكرم الشرقي,Le Kram,Tunis_2,Tunis,11,5.78221810769719e-05,0.0422802914116263,Le Kram,Agence le Kram,2.5,zitouna (0.1Km),Agence Les Jardins de Carthage (0.1Km)
Agence le Kram,biat,36.83086776733398,10.31467819213867,POINT (10.31467819213867 36.83086776733398),19,1170,147,LE KRAM EST,117051,الكرم الشرقي,Le Kram,Tunis_2,Tunis,11,5.78221810769719e-05,0.0422802914116263,Le Kram,Agence la Goulette,1.65,bna (0.03Km),Agence le Kram (0.03Km)
amen,amen,36.830496,10.314425,POINT (10.314425 36.830496),19,1170,147,LE KRAM EST,117051,الكرم الشرقي,Le Kram,Tunis_2,Tunis,11,5.78221810769719e-05,0.0422802914116263,Le Kram,Agence le Kram,0.05,bna (0.03Km),Agence le Kram (0.03Km)
amen,amen,36.846216,10.284457,POINT (10.284457 36.846216),19,1170,147,LE KRAM EST,117051,الكرم الشرقي,Le Kram,Tunis_2,Tunis,11,5.78221810769719e-05,0.0422802914116263,Le Kram,Agence Les Jardins du Lac,1.37,amen (0.04Km),Agence Les Jardins du Lac (1.37Km)
amen,amen,36.852231,10.303439,POINT (10.303439 36.852231),19,1170,147,LE KRAM EST,117051,الكرم الشرقي,Le Kram,Tunis_2,Tunis,11,5.78221810769719e-05,0.0422802914116263,Le Kram,Agence Les Jardins de Carthage,0.11,zitouna (0.01Km),Agence Les Jardins de Carthage (0.1Km)
amen,amen,36.833021,10.310222,POINT (10.310222 36.833021),19,1170,147,LE KRAM EST,117051,الكرم الشرقي,Le Kram,Tunis_2,Tunis,11,5.78221810769719e-05,0.0422802914116263,Le Kram,Agence le Kram,0.46,btk (0.01Km),Agence le Kram (0.45Km)
atb,atb,36.8588723,10.28497330000005,POINT (10.28497330000005 36.8588723),19,1170,147,LE KRAM EST,117051,الكرم الشرقي,Le Kram,Tunis_2,Tunis,11,5.78221810769719e-05,0.0422802914116263,Le Kram,Agence Ain Zaghouan,0.9,bh (0.51Km),Agence Ain Zaghouan (1.38Km)
atb,atb,36.83834300000001,10.30569609999998,POINT (10.30569609999998 36.83834300000001),19,1170,147,LE KRAM EST,117051,الكرم الشرقي,Le Kram,Tunis_2,Tunis,11,5.78221810769719e-05,0.0422802914116263,Le Kram,Agence le Kram,1.15,amen (0.72Km),Agence le Kram (0.46Km)
atb,atb,36.8384182,10.31794850000006,POINT (10.31794850000006 36.8384182),19,1170,147,LE KRAM EST,117051,الكرم الشرقي,Le Kram,Tunis_2,Tunis,11,5.78221810769719e-05,0.0422802914116263,Le Kram,Agence le Kram,0.89,tsb (0.08Km),Agence le Kram (0.97Km)
